Subclass, Family, Subfamily, Genus, Subgenus, Species, Description, Comment, Strata, Overwrite image, Image path
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Alligaticeras, Alligaticeras consociatum, , "Schlegelmilch, Malm, Image: 16.23", "ox 1 a, ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_16_23.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Alligaticeras, Alligaticeras mairei, , "Schlegelmilch, Malm, Image: 17.1", "ox 1 a, ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_1.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes bernensis, , "Schlegelmilch, Malm, Image: 17.2", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_2.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes hermonis, , "Schlegelmilch, Malm", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes gresslei, , "Schlegelmilch, Malm, Image: 17.3", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_3.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes sorlinensis, , "Schlegelmilch, Malm, Image: 17.4", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_4.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes neglectus, , "Schlegelmilch, Malm, Image: 17.5", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_5.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Properisphinctes, Properisphinctes thurmanni, , "Schlegelmilch, Malm, Image: 17.6", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_6.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) bouranensis, , "Schlegelmilch, Malm, Image: 17.7", "ox 1 b", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_7.jpg
Perisphinctaceae, Perisphinctidae, Perisphinctinae, Perisphinctes, Dichotomosphinctes, Perisphinctes (D.) montfalconensis, , "Schlegelmilch, Malm, Image: 17.8", "ox 1 c", false, C:/Users/eober/IdeaProjects/ammonites-db/images/Schlegelmilch_Malm/Schlegelmilch_Malm_17_8.jpg
