taxonomySpecies, diameterSide, diameterCross, proportionN, proportionH, proportionB, proportionQ, countZ, comment, overwriteImage, imageFilePath
Alligaticeras consociatum, 10.8, , 44, 31, , 1.07, 57, Schlegelmilch, false,
Alligaticeras consociatum, 9.3, , 41, 33, , 1.07, 57, Schlegelmilch, false,
Alligaticeras mairei, 2, , 40, 34, , 1.1, 60, Schlegelmilch, false,
Alligaticeras mairei, 3.5, , 43, 31, , 1.1, 52, Schlegelmilch, false,
Alligaticeras mairei, 5.5, , 47, 31, , 1.4, 55, Schlegelmilch, false,
Properisphinctes bernensis, 2.5, , 47, 28, , 0.75, 32, Schlegelmilch, false,
Properisphinctes bernensis, 1.6, , 42, 31, , 0.56, 31, Schlegelmilch, false,
Properisphinctes bernensis, 3, , 47, 32, , 0.7, 45, Schlegelmilch, false,
Properisphinctes bernensis, 4, , 44, 38, , 0.86, 49, Schlegelmilch, false,
Properisphinctes gresslei, 4.7, , 45, 32, , 0.8, 50, Schlegelmilch, false,
Properisphinctes sorlinensis, 3.2, , 35, 37, , 0.9, 42, Schlegelmilch, false,
Properisphinctes sorlinensis, 5.1, , 44, 32, , 0.82, 52, Schlegelmilch, false,
Properisphinctes sorlinensis, 7.1, , 47, 30, , 0.81, 55, Schlegelmilch, false,
Properisphinctes neglectus, 4, , 41, 35, , 1.14, 52, Schlegelmilch, false,
Properisphinctes thurmanni, 8, , 36, 36, , 1.2, 53, Schlegelmilch, false,
Perisphinctes (D.) bouranensis, 9, , 47, 33, , 1.65, 70, Schlegelmilch, false,
Perisphinctes (D.) montfalconensis, 6, , 48, 28, , 1, 46, Schlegelmilch, false,
Perisphinctes (D.) montfalconensis, 2.5, , 45, 33, , 0.75, 46, Schlegelmilch, false,
Perisphinctes (D.) montfalconensis, 5.5, , 43, 31, , 1.04, 47, Schlegelmilch, false,
Perisphinctes (D.) wartae, 16, , 51, 27, , 1.56, 80, Schlegelmilch, false,
Perisphinctes (D.) wartae, 10, , 50, 27, , 1.3, 63, Schlegelmilch, false,
Perisphinctes (D.) wartae, 13.5, , 50, 27, , 1.43, 69, Schlegelmilch, false,
Perisphinctes (D.) antecedens, 13, , 55, 25, , 1.04, 58, Schlegelmilch, false,
Perisphinctes (D.) antecedens, 10, , 50, 29, , 1.21, 52, Schlegelmilch, false,
Perisphinctes (D.) antecedens, 13, , 52, 26, , 1.24, 50, Schlegelmilch, false,
Perisphinctes (D.) vermicularis, 5, , 50, 26, , 0.72, 45, Schlegelmilch, false,
Perisphinctes (D.) vermicularis, 6, , 53, 24, , 1.0, 50, Schlegelmilch, false,
Perisphinctes (K.) plicatilis, 10, , 41, 34, , 1.21, 68, Schlegelmilch, false,
Perisphinctes (K.) plicatilis, 5.0, , 36, 38, , 1.02, 49, Schlegelmilch, false,
Perisphinctes (K.) plicatilis, 20, , 55, 25, , 1.14, 69, Schlegelmilch, false,
Perisphinctes (K.) plicatilis, 32, , 55, 29, , 1.3, 59, Schlegelmilch, false,
Perisphinctes (K.) elisabethae, 8.5, , 38, 35, , 1.3, 65, Schlegelmilch, false,
Perisphinctes (K.) elisabethae, 8, , 45, 32, , 1.35, 68, Schlegelmilch, false,
Perisphinctes (K.) elisabethae, 11, , 46, 31, , 1.4, 77, Schlegelmilch, false,
Perisphinctes (K.) gigantoplex, 46, , 58, 22, , 0.8, 21, Schlegelmilch, false,
Perisphinctes (K.) berlieri, 13, , 41, 34, , 1.39, 48, Schlegelmilch, false,
Perisphinctes (P.) martelli, 28, , 60, 24, , 0.81, 30, Schlegelmilch, false,
Perisphinctes (P.) siegfriedi, 26, , 54, 25, , , 49, Schlegelmilch, false,
Perisphinctes (P.) panthieri, 29, , 53, 28, , 1.13, 42, Schlegelmilch, false,
Perisphinctes (P.) panthieri, 32, , 53, 28, , 1.02, 41, Schlegelmilch, false,
Perisphinctes (P.) waltonensis, 27, , 53, 25, , , 31, Schlegelmilch, false,
Perisphinctes (P.) waltonensis, 38, , 57, 24, , 1.2, 36, Schlegelmilch, false,
Perisphinctes (P.) chloroolithicus, 8.8, , 45, 34, , 1.21, 52, Schlegelmilch, false,
Perisphinctes (P.) chloroolithicus, 20, , 53, 27, , 0.96, 60, Schlegelmilch, false,
Perisphinctes (P.) chloroolithicus, 44, , 59, 24, , 0.63, 12, Schlegelmilch, false,
Perisphinctes (D.) bifurcatus, 5.5, , 40, 34, , 1.12, 33, Schlegelmilch, false,
Perisphinctes (D.) bifurcatus, 8, , 42, 35, , 1.3, 42, Schlegelmilch, false,
Perisphinctes (D.) crassus, 9.0, , 47, 30, , 0.93, 41, Schlegelmilch, false,
Perisphinctes (D.) crassus, 6.5, , 47, 30, , 0.8, 35, Schlegelmilch, false,
Perisphinctes (D.) bifurcatoides, 14, , 48, 29, , 1.56, 35, Schlegelmilch, false,
Perisphinctes (D.) bifurcatoides, 5.3, , 42, 36, , , 83, Schlegelmilch, false,
Perisphinctes (D.) bifurcatoides, 7.2, , 40, 36, , , 102, Schlegelmilch, false,
Perisphinctes (D.) bifurcatoides, 11.5, , 45, 29, , 1.61, 56, Schlegelmilch, false,
Perisphinctes (D.) microplicatilis, 2.9, , 38, 39, , 1.5, 39, Schlegelmilch, false,
Perisphinctes (D.) microplicatilis, 3.7, , 38, 35, , 0.9, 34, Schlegelmilch, false,
Perisphinctes (D.) microplicatilis, 3.4, , 38, 38, , 1.1, 34, Schlegelmilch, false,
Perisphinctes (D.) prowitteanus, 2.2, , 41, 35, , 0.67, 29, Schlegelmilch, false,
Microbiplices microbiplex, 3.1, , 50, 32, , 0.8, 24, Schlegelmilch, false,
Microbiplices microbiplex, 2.9, , 44, 31, , 0.75, 24, Schlegelmilch, false,
Microbiplices microbiplex, 3.6, , 46, 34, , 0.9, 27, Schlegelmilch, false,
Microbiplices microbiplex, 5.1, , 46, 32, , 1.0, 26, Schlegelmilch, false,
Neomorphoceras chapuisi, 1.3, , 44, 29, , 0.6, , Schlegelmilch, false,
Neomorphoceras colinii, 3.3, , 51, 24, , 1.14, , Schlegelmilch, false,
Larcheria gredingensis, 13, , 39, 35, , 1.8, , Schlegelmilch, false,
Larcheria dorni, 10.5, , 25, 33, , 1.59, 39, Schlegelmilch, false,
Subdistophinctes lucingae, 7.0, , 35, 40, , , 82, Schlegelmilch, false,
Subdistophinctes lucingae, 3, , 33, 40, , 1.0, 41, Schlegelmilch, false,
Subdistophinctes lucingae, 7.2, , 33, 40, , 1.14, 73, Schlegelmilch, false,
Subdistophinctes lucingae, 8, , 40, 36, , 1.05, 77, Schlegelmilch, false,
Subdistophinctes mindowe, 8.2, , 40, 37, , , 90, Schlegelmilch, false,
Subdistophinctes mindowe, 5, , 33, 38, , 1.3, 63, Schlegelmilch, false,
Subdistophinctes mindowe, 9, , 38, 36, , 1.4, 90, Schlegelmilch, false,
Subdistophinctes mindowe, 12.7, , 40, 35, , 1.32, 110, Schlegelmilch, false,
Orthosphinctes (O.) polygyratus, 10.7, , 50, 31, , , 140, Schlegelmilch, false,
Orthosphinctes (O.) polygyratus, 4, , 45, 32, , , 85, Schlegelmilch, false,
Orthosphinctes (O.) polygyratus, 6, , 46, 31, , , 96, Schlegelmilch, false,
Orthosphinctes (O.) polygyratus, 8, , 47, 30, , 1.02, 110, Schlegelmilch, false,
Orthosphinctes (O.) polygyratus, 10, , 48, 30, , 1.37, 118, Schlegelmilch, false,
Orthosphinctes (O.) polygyratus, 12, , 48, 30, , 2.0, 138, Schlegelmilch, false,
Orthosphinctes (O.) laufensis, 7.7, , 43, 30, , 1.6, 50, Schlegelmilch, false,
Orthosphinctes (O.) virgulatus, 3.3, , 35, 41, , 1.27, , Schlegelmilch, false,
Orthosphinctes (O.) wemodingensis, 10, , 48, 27.2, , 1.5, 102, Schlegelmilch, false,
Orthosphinctes (O.) wemodingensis, 10, , 48, 28.5, , , 44, Schlegelmilch, false,
Orthosphinctes (O.) tizianiformis, 10, , 47, 31, , 1.3, 143, Schlegelmilch, false,
Orthosphinctes (O.) tizianiformis, 6, , 42, 34, , , 111, Schlegelmilch, false,
Orthosphinctes (O.) tizianiformis, 8, , 45, 33, , , 134, Schlegelmilch, false,
Orthosphinctes (O.) freybergi, 11, , 42, 33, , , 136, Schlegelmilch, false,
Orthosphinctes (O.) freybergi, 6, , 36.5, 38, , , 59, Schlegelmilch, false,
Orthosphinctes (O.) freybergi, 8, , 40, 33.5, , , 72, Schlegelmilch, false,
Orthosphinctes (O.) freybergi, 13, , 45.5, 32.5, , , 87, Schlegelmilch, false,
Orthosphinctes (O.) suevicus, 11.5, , 47, 30, , 1.25, 39, Schlegelmilch, false,
Orthosphinctes (O.) suevicus, 15.5, , 47, 29, , 1.26, 140, Schlegelmilch, false,
